Brand,Model,Country,Year,Month,Day
LG,GL-D241APZY,USA,2022,2,9
LG,GL-I292RPZL,Canada,2023,8,5
LG,GL-I292RPZL,Australia,2024,11,3
LG,GL-S292RDSY,India,2020,1,26
LG,GL-D241APZY,Australia,2022,5,4
LG,GL-I292RPZL,USA,2024,6,4
LG,GL-T302RPZY,India,2023,5,17
LG,GL-I292RPZL,UK,2020,11,8
LG,GL-B201APZX,USA,2023,7,13
LG,GL-B201APZX,Australia,2021,4,1
LG,GL-S292RDSY,Canada,2020,4,2
LG,GL-S292RDSY,India,2024,1,8
LG,GL-D241APZY,Australia,2024,12,9
LG,GL-B201APZX,USA,2021,6,26
LG,GL-D241APZY,India,2021,8,7
LG,GL-D241APZY,Canada,2021,1,8
LG,GL-T302RPZY,India,2021,4,3
LG,GL-B201APZX,UK,2021,11,29
LG,GL-S292RDSY,Canada,2022,5,16
LG,GL-I292RPZL,UK,2024,6,19
LG,GL-T302RPZY,Australia,2021,6,20
LG,GL-B201APZX,UK,2021,1,3
LG,GL-S292RDSY,India,2023,1,2
LG,GL-S292RDSY,USA,2022,7,21
LG,GL-B201APZX,Canada,2024,12,12
LG,GL-T302RPZY,India,2021,2,10
LG,GL-B201APZX,India,2020,1,3
LG,GL-B201APZX,India,2022,3,7
LG,GL-D241APZY,UK,2024,2,17
LG,GL-I292RPZL,UK,2021,6,19
LG,GL-T302RPZY,Canada,2022,10,14
LG,GL-D241APZY,Canada,2020,2,28
LG,GL-S292RDSY,UK,2023,1,20
LG,GL-S292RDSY,UK,2023,8,11
LG,GL-D241APZY,USA,2024,11,13
LG,GL-I292RPZL,Australia,2023,7,11
LG,GL-I292RPZL,India,2021,6,5
LG,GL-D241APZY,Australia,2024,11,24
LG,GL-B201APZX,Australia,2024,4,2
LG,GL-D241APZY,India,2022,10,8
LG,GL-S292RDSY,UK,2020,11,18
LG,GL-I292RPZL,Canada,2023,12,13
LG,GL-T302RPZY,India,2020,3,13
LG,GL-I292RPZL,Australia,2022,8,9
LG,GL-S292RDSY,India,2022,1,3
LG,GL-D241APZY,India,2022,3,22
LG,GL-D241APZY,USA,2020,9,23
LG,GL-S292RDSY,Australia,2024,10,10
LG,GL-I292RPZL,India,2022,2,18
LG,GL-I292RPZL,Australia,2021,11,4
